ln_R,ln_I
4.584592819,5.372310162
5.917403221,6.793081284
3.957760334,4.573740005
5.478950977,6.487095833
6.198960781,6.967283726
5.956260681,6.963654041
4.803506851,4.873742104
6.047617912,6.96979475
5.973352432,6.945302486
6.441170692,7.099979401
4.290017128,4.710100651
5.412149429,6.251887321
6.07128334,7.05492115
6.057785988,7.041592121
4.530749321,5.39565134
5.491518021,4.629195213
4.518857002,4.443349838
4.099475861,4.797698975
4.565607071,4.801958084
4.569599152,5.278185368
4.159293652,5.412287235
5.398770809,6.801756382
5.515273571,6.406898975
4.595433235,4.489149094
4.790550232,5.458352566
4.214510918,4.965226173
3.754977465,4.266291618
4.617121696,4.428617001
5.880424023,6.577116966
6.198644638,7.252829075
5.240809441,4.752056122
6.002788067,4.513971806
5.570395947,6.496949196
5.914847851,6.786550522
5.794253349,6.632766724
5.985391617,6.843426704
4.172749996,4.85716629
5.68911314,6.614937305
3.922673941,4.867125034
4.203116417,4.786452293
4.257655621,4.751743317
4.603377342,5.153203964
5.51288271,6.842772007
4.138998032,5.279652596
5.878116608,6.823666573
4.085700512,4.851862431
5.941733837,7.196482658
6.243417263,6.994212627
6.258341789,7.303586006
4.853919506,4.349220753
6.24990797,6.992917538
5.623740196,7.170453548
4.359358311,5.071548462
5.647793293,6.887896538
4.278407097,4.949745178
4.613235474,4.874405384
4.080792904,5.180134296
4.814204693,4.493628979
4.351225376,5.365468502
6.207124233,7.473264217
4.361019611,5.329324722
5.670828342,6.246032238
4.223656178,5.242992878
3.720155239,4.640203476
4.067319393,4.760934353
4.487986565,5.37760973
6.291539192,7.212359905
4.536572933,5.396697998
4.998154163,4.733624458
4.489859581,5.432898521
5.592675209,6.031835556
5.970425129,6.963473797
6.142835617,7.09562397
6.206217766,7.113190651
5.52042675,6.311257839
5.965659142,6.835493088
5.724237919,7.004216671
5.685051441,6.779630184
5.593337059,6.39251852
4.318454742,4.881145
4.611244202,5.242397308
5.463181019,6.376274586
6.033969402,7.008518219
4.171957493,5.390526772
4.410327435,4.543520451
5.576782703,6.446407318
5.746185303,6.587251663
4.36558342,5.24373436
5.960249424,6.672572136
4.395797253,4.938275814
4.547394276,4.744794846
5.708029747,6.456702232
4.312682629,4.784029961
5.237733841,5.77933073
5.534585476,6.410203934
5.673222542,6.977180481
5.531462193,6.664289951
4.585531712,5.101727962
6.403938293,6.95802784
6.018054008,7.043723106
5.630800247,6.137477398
5.514910221,6.29365778
6.012740612,6.476199627
6.282178879,6.79975462
5.61054945,5.851418972
5.961085796,6.574346066
4.634662151,4.929116726
6.026623726,6.859536648
5.764344692,4.527528286
6.386572361,6.910228729
4.645615101,4.646348
5.824964523,6.539205074
5.617530823,6.237702847
5.419598579,6.288559914
4.765394688,4.553391457
5.981036186,6.514629841
4.310855389,4.505426884
5.844508171,6.516514778
4.807831764,4.285850048
6.208851337,6.282804012
5.499046326,6.487669945
4.699234009,4.264846325
6.047846317,6.757754803
5.539690495,6.158415318
5.87596035,6.737161636
6.132534504,6.924114704
3.942773581,4.627258778
6.344541073,7.010977745
5.565834045,6.560608387
6.103703976,6.551262379
5.902605534,6.362676144
5.315734863,6.243937016
4.117660522,4.902162075
5.307702541,4.661090374
4.242313385,4.654417515
5.753099918,6.698762417
5.580806732,6.579767704
3.990406752,4.691423893
4.3267169,5.006127834
6.180112362,7.147282124
6.372956276,7.086826324
4.404355049,4.672050476
5.26265192,4.896034718
6.014889717,6.751320362
4.552755356,4.912503719
5.406065941,6.062783241
5.862834454,6.735991955
4.568187714,5.489269257
6.044933319,6.917528152
5.904212475,6.590209484
5.796868801,6.563383102
5.371972561,6.039499283
4.462819576,5.319412708
4.614451408,4.816557407
5.956785202,6.489169598
5.639434814,5.154218197
5.482723713,6.451868057
5.236269474,6.104531288
5.69545269,6.17193079
4.5181427,5.133529663
6.0744524,6.883239269
5.926933289,6.7874856
6.154331207,6.736960411
5.596672535,6.382760048
5.602763653,6.373186111
4.532476902,4.848081589
5.791566372,6.589016914
5.880216122,6.440075874
5.995845795,6.808530807
4.324965,5.351396561
4.499695778,5.162480831
5.826548576,6.357232094
5.86289072,6.542067528
5.980203152,6.784377098
6.277249336,6.949648857
5.759411812,6.818220615
5.088297367,5.797967434
6.144070625,6.764123917
5.959044933,6.347019672
5.517370224,6.361912727
6.275354862,6.719899178
5.491952896,6.524524212
5.329014778,5.732055664
4.440955162,5.173452377
4.470500469,4.991636753
5.623301029,6.056689262
5.768328667,6.968155384
5.910702229,6.652552605
